platform,market_id
kalshi,KXNY17D-26-PCHA
kalshi,HOUSEPA1-26-D
polymarket,90438836256571410927299008367228796312209722771624666597034907143954367060240
polymarket,17781069937970314001472355582427331102577624490515546410398313363226785264562
polymarket,77001639760095266374534198365421436593389036687975321536722226607654949914567
kalshi,KXSENATECOD-26-JHIC
kalshi,KXGOVGANOMR-26-BJ
kalshi,KXSENATEKYR-26-DCAM
kalshi,KXSENATELAR-26-JLET
kalshi,KXSENATEWVD-26-ZSHR
polymarket,85804162766623143925505734230172858069182216823432975004068744981960196178654
kalshi,HOUSEMI7-26-D
polymarket,48714878742478150158250551677796960499441604349676131777687291362760275604844
kalshi,KXGOVGANOMR-26-RJAC
kalshi,KXMT01D-26-RBUS
kalshi,KXSENATEIAR-26-AHIN
polymarket,86781543001484463186180817204217257427606945619317566179205708886668776711601
kalshi,KXLAPRIMARY-05R26-BMIG
polymarket,57330494084838502489076490399060680871003928103933395089301871728686593581662
kalshi,SENATEMS-26-D
polymarket,79484096963248498578517243733071571984223432387663163312687533493173144145268
polymarket,75079868093228966915894372964099062660587490227046756021175661325867722540666
polymarket,87725551185270618291722253233951821932371187994043126950008311468794742299797
polymarket,59310300014023824332709977480797019525075511149021770999151246250548464329871
kalshi,KXGOVMENOMD-26-TJAC
kalshi,KXGOVMINOMD-26-JB
kalshi,KXGOVMINOMR-26-JJ
kalshi,KXGOVWINOMD-26-SROD
kalshi,KXSENATEWVD-26-JKES
polymarket,35105486754833323498446510807957879321890305371041750656290068170901787016321
kalshi,KXGOVMENOMR-26-GMAS
kalshi,HOUSENY4-26-D
polymarket,48232987449750988261789196083999659380058157021032932634331257492238853387252
polymarket,60184991030711150053889856154789765911962237408503307206289529109604385579009
polymarket,86097217051997272327652501519977514271796973598402973728198470808392429882569
polymarket,51446309432639694511278505813313252956550890299455308551266868959451883932471
kalshi,KXSENATEMID-26-HSTE
kalshi,KXNY12D-26-MLAS
kalshi,KXTX33D-26-CALL
kalshi,KXGOVMENOMR-26-RBEN
kalshi,SENATEAR-26-D
kalshi,HOUSEPA10-26-D
kalshi,HOUSECT5-26-D
polymarket,4102292012495276789306481274689776832735182662407154073320343951315418557612
polymarket,67501795419284092111663134279812910460154992630407078593989658098590262577673
polymarket,28428563408232158641020832230598845099279456308678642815367173717175353290703
polymarket,83966667308824872880342632752673759552233526664290166226784097408878282862076
kalshi,KXALPRIMARY-01R26-RMAR
polymarket,17336913662936411353227123556466342187939829338475965039559527756381614175446
kalshi,KXGAPRIMARY-09R26-ACLY
kalshi,KXGOVMENOMD-26-HPIN
kalshi,KXGOVMENOMR-26-BPOL
kalshi,KXSENATEMNR-26-MTAF
kalshi,KXNY17D-26-CCON
kalshi,KXPA3D-26-CRAB
polymarket,635967037798328317792967772222670117255270591948367969949072145174705207657
kalshi,KXSENATEKSD-26-SNEU
polymarket,50560212164996222076046670401577228635993522689955909340890160492218873990887
kalshi,KXGOVWINOMD-26-DCRO
kalshi,KXSENATEWYR-26-HHAG
polymarket,26461621111481770878561400105552318154671272262199110997218200849217509562730
polymarket,25058386290082113661863297477010843483667619630690837964133182935446466004347
kalshi,HOUSENE2-26-D
kalshi,SENATESC-26-D
kalshi,HOUSENV3-26-D
polymarket,94909040987536769270715360325201420589044604443243218743462043270034738802453
polymarket,68194463917260305435439145066031544476540679280823247532132832363696000101185
kalshi,KXSENATEGAR-26-MCOL
kalshi,KXSENATEMID-26-MMCM
kalshi,KXSENATERID-26-JREE
polymarket,75854345771145535899332860471190733582966961056463642423514620066170423619805
kalshi,KXTXPRIMARY-38R26-JBON
kalshi,HOUSECO8-26-D
kalshi,HOUSENJ9-26-D
polymarket,64646801358204661091649152026679678477997607545079265541240545041704334470547
kalshi,HOUSEOH13-26-D
polymarket,34914084499338340703893043515733081691189506455850739325273268392987246939324
polymarket,3015477455071606958014729552697672689898195807324746948280693702257424620276
polymarket,77004273724753899183699441849597881417275931290950171679615354396048734034984
polymarket,89055832651439010987496740957901619978125204136577692864679148534854334935627
kalshi,KXKY4R-26-TMAS
kalshi,KXSENATEKYR-26-NMOR
kalshi,KXSENATELAR-26-JFLEM
kalshi,KXSENATEMND-26-ACRA
kalshi,KXNJPRIMARY-09R26-TBUR
kalshi,KXHOUSEIN7-26-D
polymarket,40876554419338922997007322549207349127346826092054225500718986502680985663134
kalshi,KXSENATERID-26-CBUR
polymarket,13213691980462757647945493885222867726650347449408517527147358223940116226175
kalshi,KXSENATEMIR-26-MROG
kalshi,KXSENATENHD-26-KMAN
polymarket,56624064231610260238088049093024377041287867285559273155770657490459058693715
polymarket,82449821006115979122508660805067563683064240020468569909323874370321863812321
kalshi,KXHOUSENC11-26-DEM
polymarket,26725090567941494839753555432942030379400825958244897490974743127556962267884
kalshi,HOUSENY3-26-D
polymarket,95873286255325136859944314511685433946471154050507766930211873940748656819468
kalshi,HOUSEWI1-26-D
polymarket,27864379735636967187061174592974985530606192477476602134082994654383977817622
polymarket,45621938709469399887344165091123819127263258871102896783851049824656362940868
polymarket,77232568388576878990477542833081311975859328857370439688711702313039178600550
polymarket,71772627544132140586824126381855151743830987860593343955509593715269534710061
polymarket,2092757373218904768373533040846280132805161861393140519418262456097465213332
kalshi,KXGOVGANOMD-26-KLB
kalshi,KXKXSENATEIAD-26-ZWAH
kalshi,KXKY4R-26-EGAL
kalshi,KXGOVMENOMD-26-SBEL
kalshi,KXGOVMINOMR-26-AN
polymarket,2819590516942916651029892877403669296459113841047966251743989572103477375145
kalshi,KXSENATENHR-26-JSUN
kalshi,KXNY10D-26-DGOL
kalshi,KXSENATETXR-26-KP
kalshi,KXSENATEGAR-26-BC
kalshi,KXSENATELAR-26-BCAS
kalshi,KXSENATENED-26-CBUR
polymarket,22619648167505196030937724796496450557478232692612897440413216237602158015853
kalshi,KXGOVGANOMD-26-GDUN
polymarket,13561110222018578357785114619723468880952494576477687978085608584743809891728
kalshi,HOUSENV4-26-D
polymarket,37734744071084495350871177726856765634134461816186018873587394886278296213428
polymarket,21509039698927424303190259436702262868147960450053769072201076877922760800234
kalshi,KXSENATEVAR-26-CSMI
polymarket,83509565804889622635415233881237852265353740939872837868379995505266330532889
kalshi,HOUSEME2-26-D
kalshi,HOUSEWI3-26-D
kalshi,SENATEGA-26-D
kalshi,SENATEMI-26-D
kalshi,HOUSECA21-26-D
polymarket,9839394132167490569494811921928425917610245224143989073663541732846436833998
kalshi,HOUSEIN1-26-D
polymarket,3681107044092181679149096081582633622132617006087258915752259581199189306652
kalshi,HOUSETX34-26-D
polymarket,84371186359433032934344934234365568331165136826770723604045723165294252654116
polymarket,98533340650340151055858210214498969967462170000657407829633743183238896087456
kalshi,KXGOVFLNOMR-26-BD
polymarket,86437843250913906751567446822811016235261044083577627174386428978870617860096
polymarket,69839203014050310738285770489487399607824935783258097124985135350965237238801
kalshi,KXNJPRIMARY-09R26-RPIN
kalshi,KXNJPRIMARY-12D26-AHAM
kalshi,KXSENATETXR-26-JC
kalshi,SENATEOK-26-D
polymarket,112281295057865404870041957222562306206517476142557838682690649172966968734671
kalshi,KXTXPRIMARY-19R26-AENR
kalshi,KXSENATENHR-26-SB
polymarket,27028680342024393483714279597883711390072562319514614839345830331983627328733
kalshi,HOUSEAZ1-26-D
kalshi,SENATENC-26-D
kalshi,HOUSECA22-26-D
polymarket,14880392203916951367210594044346675783187280368615720213876603794661640957466
polymarket,111540362553565728751187438925859908575427409891112173540802616759607897153785
polymarket,12963869833838696349134591178892586509546549676681530057691780490969939726649
polymarket,92489819804290368443943803966220296254525527906989333620579684623025259387169
kalshi,KXSENATEDER-26-JSHU
polymarket,80698836832848308569296360748572037018005923766184937221596442281941568349826
kalshi,KXSENATEMAD-26-EMAR
kalshi,KXGOVNMNOMD-26-DHAA
kalshi,KXGOVRINOMD-26-HFOU
kalshi,KXGOVSCNOMR-26-NMAC
kalshi,KXSENATEVAR-26-BMIZ
polymarket,46299663786392349702723327225930644916161840827204602058135807209035112218018
kalshi,KXGOVMENOMR-26-LLIB
kalshi,HOUSECA47-26-D
polymarket,23550083646669959729728201378229661225715650257894963073625400004845620304219
kalshi,KXGOVTNNOMR-2-26-JROS
kalshi,KXSENATENED-26-WFOR
polymarket,76038389912911813621364211255932019212393270279523605900078130958558839318901
kalshi,HOUSECA41-26-D
polymarket,48593915301513824754675795036918399098342443342199462614665200546792921742958
kalshi,KXSENATEALR-26-SMAR
polymarket,108357591179712084089759720919537293699688374447559250225341610071513205224315
polymarket,68370995073141964079913803663665941780115677360430806954011390499916208708512
kalshi,KXSENATEOKR-26-KHER
kalshi,KXTXPRIMARY-19R26-TSEL
kalshi,SENATEAL-26-D
kalshi,SENATECO-26-D
kalshi,SENATEWY-26-D
polymarket,49797779751182114244550178900838522175054943127409025738411962628574218037267
kalshi,HOUSEPA8-26-D
polymarket,91391435832155617612019982139435697661029161851437556799916148343508709382987
kalshi,KXHOUSETX32-26-D
polymarket,97914684524869508391838473493038359705680146825553129245982853665873115044909
kalshi,KXHOUSEUT03-26-D
polymarket,18077660363313004213754531665806100546111276578040101427528804121573299703279
polymarket,48368039124533504674394545622809320495392482760644292167644042386014017726777
polymarket,107151098936186723859677628536733880558851060002514795735761427447010628440047
polymarket,37035256877408399580736195139426691769375007411009516519857957496398965276087
kalshi,KXGOVMINOMR-26-MC
kalshi,KXGOVMNNOMD-26-AKLO
polymarket,77035596405021400512711820007199733288609054682830536946786606849311533335457
kalshi,KXGOVNMNOMD-26-SBRE
kalshi,KXSENATEORR-26-RMCA
polymarket,107124417538318543636407487408714367937793215469495658083728824209013597198317
kalshi,KXSENATERIR-26-RMCK
polymarket,53829902809645414959811589414262984260777533732446839796327042185197797698936
kalshi,KXTX33D-26-JJOH
kalshi,KXSENATEVAR-26-WES
polymarket,90861589141554654895977990710709028361081389266617043664792186725217358889645
kalshi,KXSENATEMTD-26-RNEI
polymarket,34098780866459849250137824858329069502128967102640360783259820681746573406281
kalshi,KXSENATEVAR-26-JMIY
polymarket,6409824763135588740336457594477426956874240477346766975440384259263123485883
polymarket,99707231507759124574081212672007537204787934380228084704600028791237773589839
kalshi,KXSENATEWYR-26-JSKO
kalshi,SENATESD-26-D
kalshi,KXSENATENHD-26-CPAP
polymarket,79153343516917124089830649512161379225749490712157676097737998459949458633341
kalshi,SENATEIL-26-D
kalshi,SENATERI-26-D
kalshi,KXGOVFLNOMR-26-JCOL
kalshi,KXTXPRIMARY-32R26-JYAR
kalshi,KXSENATEWYR-26-RRAS
kalshi,HOUSECA9-26-D
polymarket,85818458220835205685598773894359215795624110062253373707616024326577925493201
kalshi,HOUSEIA1-26-D
polymarket,70626084342654528512319514273738308837103071303735022481383733918592331109261
kalshi,HOUSEOR5-26-D
polymarket,12668390728546664562591096503585520540809771817912759179044387646050235405928
kalshi,KXSENATEKYD-26-CBOO
kalshi,KXSENATENJR-26-AHAB
polymarket,28478146921101923333790365608431571625823805999437510061909314469840019676952
kalshi,KXSENATENJR-26-AZDA
polymarket,13110109726414800357232739369472882387216626302892905879828416697162503947980
kalshi,KXNY17D-26-EPHI
kalshi,KXSENATEOKD-26-NTHO
polymarket,114065777609958455119367011394356653006114468295891470068766391364917719967593
kalshi,KXSENATESCR-26-MLYN
polymarket,7246362374659592210914528906696300561536727159825963493988110788167789691482
kalshi,SENATEOR-26-D
kalshi,KXSENATEVAR-26-KFAR
polymarket,32603414742840881954517994984772779717810043696990821275921560162034656671613
polymarket,67967023811721834738685695249992484419619114809767608640505747182577663027691
kalshi,KXSENATEWVD-26-RAND
polymarket,24070494307694987402958157147410294431639009746444679090621643037051528700521
kalshi,KXHOUSEWA8-26-D
polymarket,25606522774893959736045763151595381737278418490862594684827826612970734165778
polymarket,61904919791855879009249980399139520115253905294081425142832198451044632102375
kalshi,KXSENATEORR-26-DBRO
polymarket,77238781591683840612017150946939335547181039668122094482943919745341829893248
kalshi,SENATEWV-26-D
kalshi,KXSENATERIR-26-AWAT
polymarket,76953082602184447446392227868698611312931515419726728725776351799308439033216
kalshi,KXSENATEVAD-26-MWAR
polymarket,81174786818713261193560505453499396552702726344851023968604467996639370216099
kalshi,KXNY12D-26-GCON
kalshi,KXGOVMENOMD-26-AKIN
polymarket,26567906480848215398768423237225383004167674987990217368003690053799245952555
kalshi,KXSENATEMAD-26-APRE
polymarket,46492752609419264697948469403187878502264158117256233443502397647350940236002
kalshi,KXSENATENJR-26-VBRA
polymarket,108529107577074919342232451382785792082099733518460885956473398138134595192977
kalshi,HOUSEMN2-26-D
polymarket,101761583924149127934699530188897560119595562747749947811419542814081248785009
kalshi,SENATEMA-26-D
polymarket,37806907368043161074949113436745462734936336037202698916361016094424427186209
polymarket,78851068021324895283900116699166732733907005817372833903089338681283211953991
kalshi,KXSENATEIDR-26-JEVA
polymarket,44313867173131863566502740202775328377928879013088378946585398052369506890164
kalshi,HOUSEAZ6-26-D
kalshi,SENATEAK-26-D
kalshi,HOUSEFL13-26-D
polymarket,10797071126504743123515085716419360987107478266428470507477377131012323100968
kalshi,HOUSEMI10-26-D
polymarket,75685534826787951976275953631896177236439299709473517876953614908104349066066
kalshi,HOUSENV1-26-D
polymarket,53419693435572371788699892259142418692358073805819213173632989322601750027858
kalshi,HOUSEVA1-26-D
polymarket,88628412725357801969852238315853152041907755032296775468463465337049299853893
polymarket,21024219148268989748704207701411444044468128261642675917026452687231462203167
polymarket,86158564038726526008163887440654010269502827272776903587995739265573029112945
polymarket,47540146623620182724372695903724852067595146419459482790641441152489267651664
polymarket,109467029375682717672947466588331781838347232688418556926634334189471462678711
polymarket,37649267567982889592011384409533519112993266261975620703097847510820818713285
kalshi,KXSENATEALD-26-DLAR
polymarket,84105352370131155722647363201789721788975849990521409198749642413041733766938
kalshi,KXSENATELAD-26-NALB
polymarket,20888234519431854987626693063962739945244055479868536699341709279010545487891
polymarket,52362293961963298427189285909970194513335299077312105294975319551538573068569
kalshi,KXSENATEMID-26-AELS
kalshi,KXNY7D-26-AREY
kalshi,KXSENATEORR-26-JPER
polymarket,46444204468410892720717910400971829277605957032195999744259807640192158585949
kalshi,KXSENATEORR-26-BBAR
polymarket,10033014542374729655163410515184033619626948474961439949152092484534459028122
kalshi,KXSENATEORR-26-TSKE
polymarket,63004297259698423769204976021849343737612526295841459337814179119654765049468
kalshi,KXGOVMNNOMD-26-KELL
polymarket,110692470670299760609405767524469998656804613573367102042492015567399413436772
kalshi,KXGOVFLNOMD-26-JDEM
polymarket,65416274194965198953520130493487999746314657309839784216629620716292897734783
kalshi,KXSENATEORR-26-DBUR
polymarket,72795923739683945191599691917989876670534751657632837512186004275359475786953
kalshi,KXGOVTNNOMR-2-26-MBLA
kalshi,KXSENATEWVD-26-RPHI
polymarket,4835507014992300277959685271181290188701411543195603584888475156296621379165
kalshi,HOUSEIL17-26-D
polymarket,26171734240618645516324503767249447123367690718138779413343534699327358751805
kalshi,KXHOUSEUT01-26-D
polymarket,8269172801736629285390967158042572614824221441854000527215508853168947814184
kalshi,HOUSEVA7-26-D
polymarket,98075623222143547346037366837071572541450376316433615657989340175250414958486
kalshi,SENATELA-26-D
polymarket,80536528552003281640741026890878925456783654983296822683495274364289350034456
kalshi,KXGOVFLNOMR-26-JFIS
kalshi,HOUSEVA2-26-D
polymarket,113775721914358731979638137579752258137123447875996657512004068518320376669224
kalshi,KXSENATEORD-26-JMER
polymarket,98505098969238117556641506099861626793778451880023986488449723917214377071643
kalshi,KXSENATEVAD-26-JREY
polymarket,91081603396286545944294649345029366034750614075022168472067501356566177081143
kalshi,HOUSEAZ2-26-D
polymarket,3443730243629009067137575970938200548553205123774326260772894121725693586787
kalshi,HOUSECO3-26-D
polymarket,24395104702642353411948925889097630568855366590528757185881735998149149192479
kalshi,HOUSEMI4-26-D
polymarket,88776488175071791462909511406316753979194373422367163888126718728750245407110
kalshi,KXHOUSEMO5-26-D
polymarket,20434636588070348342968602903061248718389577160814478335219004633392341635870
kalshi,HOUSENJ5-26-D
polymarket,39839349821217245610991310247064925302999460514525984723514121006600505842039
kalshi,SENATEFLS-26-D
polymarket,109815773012907461372639157658293071578555374097742562684476865021743386609433
kalshi,SENATETX-26-D
polymarket,15290572385458522370285732869432740297199321382471116558439914335588167718663
polymarket,66799540193763442273153807390120946960260027428359861674134091731050086258652
polymarket,94716743709853585469973889676994451123824166409123282527490222914006156870020
polymarket,57191420250913616150846676905047388827581537310894242160546701872955141155912
kalshi,KXSENATEALD-26-KSWE
polymarket,45151924437726053065217469328441486544633374118240527916531207391604596229571
kalshi,KXSENATEALR-26-BMOO
polymarket,4380625186585217801547449366028560900149813611631698689199281184042561053657
kalshi,KXGOVFLNOMD-26-DJOL
polymarket,24176931621769325963415691363159696601987509595655319916574234185062000956041
kalshi,KXSENATEKSD-26-APAR
polymarket,10831912739662706416153775736826443238519017745722764810161632994495385241230
kalshi,KXSENATEMAD-26-SMOU
